Element,Node In,Node Out,DeltaX,DeltaY,DeltaZ,Fit. Type,Comp. Type,Size,Fit. Class,Comp. Class,Pipe Class,Assignment,Fit. Art No.,Fit. Param,Fit. Desc,Comp. Art No.,Comp. Param,Comp. Desc,Pipe Art No.,Pipe Param,Pipe. Desc,"Rough.
(mm)","D0
(mm)","D1
(mm)"
100,10 (A),20 (B),2,0,0,,,250,,,MS250,Inlet,,,,,,,,,,0,250,250
110,20 (B),30 (C),0,0,2,EL90_0.5,,250,Elbow_Bend,,MS250,,,R=0.5D,Elbow 90,,,,,,,0,250,250
120,30 (C),40 (D),0,-1,0,4WD_B,,250,Tee_Cross,,MS250,,,,4-Way Divergence,,,,,,,0,250,250
130,30 (C),50 (E),0,1,0,4WD_B,,250,Tee_Cross,,MS250,,,,4-Way Divergence,,,,,,,0,250,250
140,30 (C),31,0.01,0,0,4WD_S,,250,Tee_Cross,,MS250,,,,4-Way Divergence,,,,,,,0,250,250
141,31,32,1.508995209,0,0,,,250,,,MS250,,,,,,,,,,,0,250,250
142,32,33 (C'),0.481004791,0,0,RC_L45,,250x50,,,,Outlet,,L = 4.5*(D0 - D1),,,,,,,,0,250,143.1100464
150,40 (D),41,0.01,0,0,EL90_0.5,,250,Elbow_Bend,,,,,L = 4.5*(D0 - D1),Elbow 90,,,,,,,0,250,250
151,41,42,1.984974854,0,0,,,250,,,MS250,,,,,,,,,,,0,250,250
152,42,43 (D'),0.005025146,0,0,RC_L45,,250x50,,,,Outlet,,L = 4.5*(D0 - D1),,,,,,,,0,250,248.8833008
160,50 (E),51,0.01,0,0,EL90_0.5,,250,Elbow_Bend,,,,,R=0.5D,Elbow 90,,,,,,,0,250,250
161,51,52,1.984974854,0,0,,,250,,,MS250,,,,,,,,,,,0,250,250
162,52,53 (E'),0.005025146,0,0,RC_L45,,250x50,,,,Outlet,,L = 4.5*(D0 - D1),,,,,,,,0,250,248.8833008
