lambda_treloar,P_treloar,P_PSO_standard,P_PSO_dynamic_w,P_PSO_constriction
1.0,0.0,0.0,0.0,0.0
1.34,0.4,0.30226344042610215,0.30226343879967155,0.3022634381547263
1.7,0.6,0.5241079640100423,0.5241079613582169,0.5241079603291577
2.26,0.88,0.8078796146399584,0.8078796111787082,0.8078796099207134
2.87,1.15,1.1056248134346862,1.105624809923229,1.1056248088294633
3.48,1.45,1.439551248279396,1.4395512454843005,1.4395512449387418
4.09,1.8,1.8579654149674407,1.85796541353861,1.857965413851893
4.7,2.3,2.4221401462068535,2.422140146579328,2.4221401479252322
5.32,3.1,3.2276770711466654,3.227677073432187,3.2276770757781423
5.93,4.4,4.3533909603446315,4.353390964067422,4.353390967023802
6.54,6.1,5.940173068510768,5.940173072516831,5.9401730752767845
7.15,8.2,8.147677527360495,8.147677529573828,8.14767753076931
7.62,10.3,10.391866196322727,10.39186619501922,10.391866193639936
